hypothesis,reference,audio_paths,accent,sample_id,pred_clean,ref_clean,wer,hypothesis_clean,reference_clean
chikopi was the home of te defunt aa and usmet park,Chicopee was the home of the defunct Idlehour amusement park.,/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_20712866.wav,"india and south asia (india, pakistan, sri lanka)",57a90da2-7298-4df4-b8e7-0d3d6acd56ae,chikopi was the home of te defunt aa and usmet park,chicopee was the home of the defunct idlehour amusement park.,0.7,chikopi was the home of te defunt aa and usmet park,chicopee was the home of the defunct idlehour amusement park
on procedure i think the senator who has just spoken before me has said it. but what i wanted to bring forward is is what the chair said about the statements that we mad yesterday as,On procedure I think the senator who has just spoken before me has said it. But what I want them to  forward is what the chair Said about the statements that we made yesterday,/data4/data/intron/770f58e0376f11ed93df0603bdd00153/605d399a377011ed93df0603bdd00153.wav,kenyan english,73c1fd5a-2aff-4d54-a13e-8b510f4f1395,on procedure i think the senator who has just spoken before me has said it. but what i wanted to bring forward is is what the chair said about the statements that we mad yesterday as,on procedure i think the senator who has just spoken before me has said it. but what i want them to forward is what the chair said about the statements that we made yesterday,0.17647058823529413,on procedure i think the senator who has just spoken before me has said it but what i wanted to bring forward is is what the chair said about the statements that we mad yesterday as,on procedure i think the senator who has just spoken before me has said it but what i want them to forward is what the chair said about the statements that we made yesterday
a testamentary air one appointed by,A testamentary heir: one appointed by the will of the decedent.,/data4/data/intron/d83e872b-0ab7-42ea-99bc-93758275589f/e5cdc24afb5692e35ebe89bf0e3850f3.wav,yoruba,42f079ca-ecb2-4c76-8f54-fb3746b2c72c,a testamentary air one appointed by,a testamentary heir: one appointed by the will of the decedent.,0.5454545454545454,a testamentary air one appointed by,a testamentary heir one appointed by the will of the decedent
"and you know increasingly, we are finding ourselves having to use radio to reach every corner of our country in whatever important message we have to give. including what government has to do a abc you know thethe registerar of political parties all these people have","And you know increasingly we are finding ourselves having to use radio to reach every corner of our country in whatever important message we have to give including what government has to do IEBC, you know the Registrar of political parties, all these people have",/data4/data/intron/d126c560376111ed86640603bdd00153/b7dbab1a376211ed86640603bdd00153.wav,kenyan english,d35eb816-b377-4345-88f9-fe2a6398a376,"and you know increasingly, we are finding ourselves having to use radio to reach every corner of our country in whatever important message we have to give. including what government has to do a abc you know thethe registerar of political parties all these people have","and you know increasingly we are finding ourselves having to use radio to reach every corner of our country in whatever important message we have to give including what government has to do iebc, you know the registrar of political parties, all these people have",0.15555555555555556,and you know increasingly we are finding ourselves having to use radio to reach every corner of our country in whatever important message we have to give including what government has to do a abc you know thethe registerar of political parties all these people have,and you know increasingly we are finding ourselves having to use radio to reach every corner of our country in whatever important message we have to give including what government has to do iebc you know the registrar of political parties all these people have
my knees runs performerse market,My niece runs a farmer's market.,/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_17815402.wav,"india and south asia (india, pakistan, sri lanka)",6a6a99df-4996-4216-92dc-806f82d57e55,my knees runs performerse market,my niece runs a farmer's market.,0.6666666666666666,my knees runs performerse market,my niece runs a farmer is market
investment and development of badly needed instructne a statement by the speaker of the house of representatives repeidajabiamila at the public hearing on a bill for a,"Investment and development of badly needed infrastructure, a statement by the speaker of the house of representatives Redpeni Abimajja at the public hearing on the bill",/data4/data/intron/2df4766a216a11edbed106dca2a745cd/db89566a216a11edbed106dca2a745cd.wav,luganda,8f57c714-355f-4fe4-abe9-73c332055ed1,investment and development of badly needed instructne a statement by the speaker of the house of representatives repeidajabiamila at the public hearing on a bill for a,"investment and development of badly needed infrastructure, a statement by the speaker of the house of representatives redpeni abimajja at the public hearing on the bill",0.23076923076923078,investment and development of badly needed instructne a statement by the speaker of the house of representatives repeidajabiamila at the public hearing on a bill for a,investment and development of badly needed infrastructure a statement by the speaker of the house of representatives redpeni abimajja at the public hearing on the bill
most of the passengers had been trapped in the cabins,Most of the passengers had been trapped in their cabins.,/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_27817507.wav,unknown,f9117254-1502-493e-8064-35803be811be,most of the passengers had been trapped in the cabins,most of the passengers had been trapped in their cabins.,0.2,most of the passengers had been trapped in the cabins,most of the passengers had been trapped in their cabins
"you know, i think you hade the wrong place. simply because we are here to be the voice for the voiceless. kenya is at this pathetic stech  stage because our leaders in the past","You know, I think you are the wrong place. Simply because we are here to be the voice for the voiceless. Kenya is at this pathetic stage stage because our leaders in the past.",/data4/data/intron/596e3be4376511ed90f30603bdd00153/a71b8634376611ed90f30603bdd00153.wav,kenyan english,45af9ebe-f42a-4429-8d1f-de90c85bbd54,"you know, i think you hade the wrong place. simply because we are here to be the voice for the voiceless. kenya is at this pathetic stech stage because our leaders in the past","you know, i think you are the wrong place. simply because we are here to be the voice for the voiceless. kenya is at this pathetic stage stage because our leaders in the past.",0.08823529411764706,you know i think you hade the wrong place simply because we are here to be the voice for the voiceless kenya is at this pathetic stech stage because our leaders in the past,you know i think you are the wrong place simply because we are here to be the voice for the voiceless kenya is at this pathetic stage stage because our leaders in the past
securities that are ildequate in the market are classified as hald.,Securities that are illiquid in the market are classified as hard.,/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_28948994.wav,"india and south asia (india, pakistan, sri lanka)",1963d0d2-e290-4372-9bfa-2e4e6e059d57,securities that are ildequate in the market are classified as hald.,securities that are illiquid in the market are classified as hard.,0.18181818181818182,securities that are ildequate in the market are classified as hald,securities that are illiquid in the market are classified as hard
"however, lewisen's long-term project, the publication of a dictionary was never completed.","However, Lewis's long-term project, the publication of a dictionary, was never completed.",/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_20987661.wav,united states english,453aa05e-16de-478d-aa87-0c92bf4c217b,"however, lewisen's long-term project, the publication of a dictionary was never completed.","however, lewis's long-term project, the publication of a dictionary, was never completed.",0.16666666666666666,however lewisen is long term project the publication of a dictionary was never completed,however lewis is long term project the publication of a dictionary was never completed
former raider's development talent anthony ro signed on a one month deal in november,Former Raiders development talent Anthony Rowe signed on a one-month deal in November.,/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_21843474.wav,united states english,8690877f-4608-4feb-be01-5fe290067e27,former raider's development talent anthony ro signed on a one month deal in november,former raiders development talent anthony rowe signed on a one-month deal in november.,0.38461538461538464,former raider is development talent anthony ro signed on a one month deal in november,former raiders development talent anthony rowe signed on a one month deal in november
the city council consists of eight members,The city council consists of eight members.,/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_22204085.wav,united states english,be2fd614-a3ee-46c6-a8dc-d71067f7ce97,the city council consists of eight members,the city council consists of eight members.,0.14285714285714285,the city council consists of 8 members,the city council consists of 8 members
these pos lavi and migrate back into fressh water.,These postlarvae then migrate back into fresh water.,/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_26781936.wav,"india and south asia (india, pakistan, sri lanka)",2d2336fb-ee83-435f-b7da-b1bdea1e3562,these pos lavi and migrate back into fressh water.,these postlarvae then migrate back into fresh water.,0.5,these pos lavi and migrate back into fressh water,these postlarvae then migrate back into fresh water
an senator milseli please take your seat you you're not allowed to stand when another member is on his feetthis are to make sure that you know we are effective in liberations. so mr speaker i plead that this standing orders,"and Senator Millicent,please take your seats.You're not allowed to stand when another member is on his feet this to make sure that you know we are effective in our deliberate deliberations so Mr Speaker I plead that this Standing Orders",/data4/data/intron/f9f1b732377211eda89d0603bdd00153/b94c4fc0377311eda89d0603bdd00153.wav,kenyan english,e85bdaba-147a-487a-a373-1debace680bd,an senator milseli please take your seat you you're not allowed to stand when another member is on his feetthis are to make sure that you know we are effective in liberations. so mr speaker i plead that this standing orders,"and senator millicent,please take your seats.you're not allowed to stand when another member is on his feet this to make sure that you know we are effective in our deliberate deliberations so mr speaker i plead that this standing orders",0.275,an senator milseli please take your seat you you are not allowed to stand when another member is on his feetthis are to make sure that you know we are effective in liberations so mister speaker i plead that this standing orders,and senator millicent please take your seats you are not allowed to stand when another member is on his feet this to make sure that you know we are effective in our deliberate deliberations so mister speaker i plead that this standing orders
ai am still perf thah ealiesnaoolsoaus,"And I am still baffled that the US legalizes this thing. I mean, someone can just order firearms online as if you're ordering food, and you're going to get it. I mean, there have many school shootings now just because they made these things available.",/data4/data/intron/4a6790f4-1106-4e04-b767-82363823b15b/d8d349bf2a10d7341b9aba34fd91be26.wav,yoruba,e7a4a411-0edf-44c2-a0c8-87fabe75a6fc,ai am still perf thah ealiesnaoolsoaus,"and i am still baffled that the us legalizes this thing. i mean, someone can just order firearms online as if you're ordering food, and you're going to get it. i mean, there have many school shootings now just because they made these things available.",0.9555555555555556,ai am still perf thah ealiesnaoolsoaus,and i am still baffled that the us legalizes this thing i mean someone can just order firearms online as if you are ordering food and you are going to get it i mean there have many school shootings now just because they made these things available
"fsh, follicle-stimulating hormone gnrh, gonadotropin-releasin hormone.","FSH, Follicle-stimulating hormone GnRH, gonadotropin-releasing hormone.",/data4/data/intron/bfdf39fe-0226-4c81-a26c-90491c55e504/7f14bdbe37836d520f876e08fe5f98b8.wav,igbo,11cfb60d-8616-41d9-b01a-60150eba8aa8,"fsh, follicle-stimulating hormone gnrh, gonadotropin-releasin hormone.","fsh, follicle-stimulating hormone gnrh, gonadotropin-releasing hormone.",0.16666666666666666,fsh follicle stimulating hormone gnrh gonadotropin releasin hormone,fsh follicle stimulating hormone gnrh gonadotropin releasing hormone
this does not improve the lageibility of his notes,This does not improve the legibility of his notes.,/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_18579041.wav,unknown,54b81f2f-b292-4606-a636-ed026e77cdb9,this does not improve the lageibility of his notes,this does not improve the legibility of his notes.,0.2222222222222222,this does not improve the lageibility of his notes,this does not improve the legibility of his notes
"they eventually opened it sourt in milwarly area of northern, california.",They eventually opened a store in the Mill Valley area of Northern California.,/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_22604688.wav,"india and south asia (india, pakistan, sri lanka)",33ab6132-6c49-47c7-a9df-bf984e73713c,"they eventually opened it sourt in milwarly area of northern, california.",they eventually opened a store in the mill valley area of northern california.,0.46153846153846156,they eventually opened it sourt in milwarly area of northern california,they eventually opened a store in the mill valley area of northern california
it is said to be named for a local resident peter dennis,"It is said to be named for a local resident, Peter Dennis.",/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_19698114.wav,united states english,de680563-e3b9-4bb4-aec2-2a0788850cf5,it is said to be named for a local resident peter dennis,"it is said to be named for a local resident, peter dennis.",0.16666666666666666,it is said to be named for a local resident peter dennis,it is said to be named for a local resident peter dennis
it is an uncommon tumor in the appendix and is morphologically similar tncr lsherinthlemntar.,It is an uncommon tumour in theappendix and is morphologically similar to adenocarcinomaelsewhere in the alimentary tract.,/data4/data/intron/8a0e764f-0c63-4ccc-948b-c703457b7578/e89fcb776eae98619d25d147acf31034.wav,serbian,59a6bd03-da67-4a93-aa12-028172ab90ee,it is an uncommon tumor in the appendix and is morphologically similar tncr lsherinthlemntar.,it is an uncommon tumour in theappendix and is morphologically similar to adenocarcinomaelsewhere in the alimentary tract.,0.5294117647058824,it is an uncommon tumor in the appendix and is morphologically similar tncr lsherinthlemntar,it is an uncommon tumor in theappendix and is morphologically similar to adenocarcinomaelsewhere in the alimentary tract
embryonic stem cell,embryonic stem cell,/data4/data/nchlt_eng/audio/091/nchlt_eng_091f_0465.wav,south african english,738667b8-9a6f-4631-87dc-e96189c082b3,embryonic stem cell,embryonic stem cell,0.0,embryonic stem cell,embryonic stem cell
since then it has been the largest city in northwestern ontario.,Since then it has been the largest city in Northwestern Ontario.,/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_19760915.wav,"india and south asia (india, pakistan, sri lanka)",3d4caf07-a516-4590-9960-2485505d7920,since then it has been the largest city in northwestern ontario.,since then it has been the largest city in northwestern ontario.,0.0,since then it has been the largest city in northwestern ontario,since then it has been the largest city in northwestern ontario
he was schooled at redley college in oxfershire.,He was schooled at Radley College in Oxfordshire.,/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_30997482.wav,"india and south asia (india, pakistan, sri lanka)",8bcd59e8-949b-4785-a821-369e1b797abb,he was schooled at redley college in oxfershire.,he was schooled at radley college in oxfordshire.,0.25,he was schooled at redley college in oxfershire,he was schooled at radley college in oxfordshire
prime minister harber kept lachrer on treasury board after the cabinas shuvle.,Prime Minister Harper kept Fletcher on Treasury Board after the Cabinet Shuffle.,/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_22450383.wav,hong kong english,e5145b4a-8698-4b9c-8e38-04419d1bcb2c,prime minister harber kept lachrer on treasury board after the cabinas shuvle.,prime minister harper kept fletcher on treasury board after the cabinet shuffle.,0.3333333333333333,prime minister harber kept lachrer on treasury board after the cabinas shuvle,prime minister harper kept fletcher on treasury board after the cabinet shuffle
e intends to rerelease local information and possibly other material by the french,He intends to re-release Local Information and possibly other material by The French.,/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_20993639.wav,united states english,1ece83c3-d78b-4c83-9f92-639a8e6530be,e intends to rerelease local information and possibly other material by the french,he intends to re-release local information and possibly other material by the french.,0.23076923076923078,e intends to rerelease local information and possibly other material by the french,he intends to re release local information and possibly other material by the french
therefore these are usually assumed to be the hetites mentioned in solvance time,Therefore these are usually assumed to be the Hittites mentioned in Solomon's time.,/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_25214890.wav,"india and south asia (india, pakistan, sri lanka)",64d1f05b-ac2a-476c-840d-a49a3018355a,therefore these are usually assumed to be the hetites mentioned in solvance time,therefore these are usually assumed to be the hittites mentioned in solomon's time.,0.23076923076923078,therefore these are usually assumed to be the hetites mentioned in solvance time,therefore these are usually assumed to be the hittites mentioned in solomon is time
tatuos are bodily drywins that could be maye through electrical incisions ar through the made tranditional practices. it is matually to draw a label or something that yo most like whether  animal or flowa botterfly,"Tattoos are bodily drawings, that could be made through electrical incisions or through the home-made traditional practices. It is majorly to draw a label or something that you most like, whether animal, flower or butterfly.",/data4/data/intron/fc1312b7-935b-4d7b-99f5-557d9c31a854/3ce4f57cf59d8c50802b640f48bb2501.wav,yoruba,e96c0050-a7b1-472d-a447-000cdd3213de,tatuos are bodily drywins that could be maye through electrical incisions ar through the made tranditional practices. it is matually to draw a label or something that yo most like whether animal or flowa botterfly,"tattoos are bodily drawings, that could be made through electrical incisions or through the home-made traditional practices. it is majorly to draw a label or something that you most like, whether animal, flower or butterfly.",0.37142857142857144,tatuos are bodily drywins that could be maye through electrical incisions ar through the made tranditional practices it is matually to draw a label or something that yo most like whether animal or flowa botterfly,tattoos are bodily drawings that could be made through electrical incisions or through the home made traditional practices it is majorly to draw a label or something that you most like whether animal flower or butterfly
he twice scored a playoff over time winning gaal,He twice scored a playoff overtime winning goal.,/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_27647280.wav,unknown,12f52d91-77fa-44cb-bb17-cb2f0a6abfb3,he twice scored a playoff over time winning gaal,he twice scored a playoff overtime winning goal.,0.375,he twice scored a playoff over time winning gaal,he twice scored a playoff overtime winning goal
after retirement he continued to attend church every week servingogreatioal ministry.,"After retirement, he continued to attend church every week, serving in congregational ministry.",/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_20235891.wav,unknown,ddebefa7-bd12-4d28-abe7-0d034dee01ad,after retirement he continued to attend church every week servingogreatioal ministry.,"after retirement, he continued to attend church every week, serving in congregational ministry.",0.38461538461538464,after retirement he continued to attend church every week servingogreatioal ministry,after retirement he continued to attend church every week serving in congregational ministry
most of the road traverses residential neighborhoods and parkets of industrial and commercial hubs,Most of the road traverses residential neighbourhoods and pockets of industrial and commercial hubs.,/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_19622640.wav,unknown,b913b14f-5752-49d8-8308-ca03de33cf51,most of the road traverses residential neighborhoods and parkets of industrial and commercial hubs,most of the road traverses residential neighbourhoods and pockets of industrial and commercial hubs.,0.21428571428571427,most of the road traverses residential neighborhoods and parkets of industrial and commercial hubs,most of the road traverses residential neighborhoods and pockets of industrial and commercial hubs
optional components can also be installed fom additional services,Optional components can also be installed for additional services.,/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_20297879.wav,unknown,6e1afb9e-45f0-4d68-9235-46d7d08c9ed7,optional components can also be installed fom additional services,optional components can also be installed for additional services.,0.2222222222222222,optional components can also be installed fom additional services,optional components can also be installed for additional services
ernestic junior reappears in stake,"Ernest Stickley, Junior reappears in Stick.",/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_20931442.wav,unknown,3b74deac-daea-458f-88b9-c7ba8ded5bb3,ernestic junior reappears in stake,"ernest stickley, junior reappears in stick.",0.5,ernestic junior reappears in stake,ernest stickley junior reappears in stick
the network includes two distinct series of highways,The network includes two distinct series of highways.,/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_18731119.wav,unknown,ef1a3540-2bb0-45cb-afe8-9544bc752990,the network includes two distinct series of highways,the network includes two distinct series of highways.,0.125,the network includes 2 distinct series of highways,the network includes 2 distinct series of highways
i was hump camin boy ond the scooner ost,"I was Hump, cabin boy on the schooner Ghost.",/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_18344617.wav,unknown,23b456e3-e6be-478f-8de7-330cbf27214d,i was hump camin boy ond the scooner ost,"i was hump, cabin boy on the schooner ghost.",0.5555555555555556,i was hump camin boy ond the scooner ost,i was hump cabin boy on the schooner ghost
the university compus received a bigrade from the sustainable endoment institute on its collegue sustainabilityrepotd for,The university campus received a B grade from the Sustainable Endowments Institute on its College Sustainability Report Card for 2011 .,/data4/data/intron/a46f5d8f-392d-46af-8fc0-eb0c6d420609/f5b1432f491e5ad7c5f6dc93eec28bbd.wav,swahili,bb3bc77d-72c3-4ccd-965c-49f48573ee8b,the university compus received a bigrade from the sustainable endoment institute on its collegue sustainabilityrepotd for,the university campus received a b grade from the sustainable endowments institute on its college sustainability report card for 2011 .,0.47619047619047616,the university compus received a bigrade from the sustainable endoment institute on its collegue sustainabilityrepotd for,the university campus received a b grade from the sustainable endowments institute on its college sustainability report card for 2011
the story line retals the early ears of steve rodgers done as a starl pangled avengere.,The storyline re-tells the early years of Steve Rogers' turn as the Star-Spangled Avenger.,/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_19965638.wav,"india and south asia (india, pakistan, sri lanka)",63ce34d3-fbdc-46fe-9f98-057f209d45c3,the story line retals the early ears of steve rodgers done as a starl pangled avengere.,the storyline re-tells the early years of steve rogers' turn as the star-spangled avenger.,0.7142857142857143,the story line retals the early ears of steve rodgers done as a starl pangled avengere,the storyline re tells the early years of steve rogers turn as the star spangled avenger
"visitors are forbidding in other hopes but couples are still allowed to visit wone another, even if they leave outside e 5kmzone..","Visitors are forbidden in other homes but couples are still allowed to visit one another, even if they live outside the 5km zone.",/data4/data/intron/fc469493-2675-4132-894e-e7d1a4e96f47/2eaa1fe33877af01bd509f8ba57176a4.wav,isizulu,4c46300c-7381-4e2c-8e26-eb2e604db5ac,"visitors are forbidding in other hopes but couples are still allowed to visit wone another, even if they leave outside e 5kmzone..","visitors are forbidden in other homes but couples are still allowed to visit one another, even if they live outside the 5km zone.",0.30434782608695654,visitors are forbidding in other hopes but couples are still allowed to visit wone another even if they leave outside e 5 kmzone .,visitors are forbidden in other homes but couples are still allowed to visit one another even if they live outside the 5 km zone
this can be derived using blackwise matrix in version,This can be derived using blockwise matrix inversion.,/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_25651116.wav,unknown,dab89166-e3e6-405e-baab-e9cb2edabbfd,this can be derived using blackwise matrix in version,this can be derived using blockwise matrix inversion.,0.375,this can be derived using blackwise matrix in version,this can be derived using blockwise matrix inversion
the leaders as well as the members are united in their determination to see the back of makinda in pdp in oyo state.,The leaders as well as the members are united in their determination to see the back of Makinde and PDP in Oyo State.,/data4/data/intron/79957e12-adec-4757-9193-bf3cebf24aa0/67e4170fab0edb7f5283af9ff4f24a07.wav,serbian,944aa1c1-af82-47ab-9555-c3cf38fa1cff,the leaders as well as the members are united in their determination to see the back of makinda in pdp in oyo state.,the leaders as well as the members are united in their determination to see the back of makinde and pdp in oyo state.,0.08695652173913043,the leaders as well as the members are united in their determination to see the back of makinda in pdp in oyo state,the leaders as well as the members are united in their determination to see the back of makinde and pdp in oyo state
they soon after launched attacks in many cities including abijon,"They soon after launched attacks in many cities, including Abidjan.",/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_19975931.wav,unknown,1945c315-ed8a-4458-ae22-425d936790c6,they soon after launched attacks in many cities including abijon,"they soon after launched attacks in many cities, including abidjan.",0.2,they soon after launched attacks in many cities including abijon,they soon after launched attacks in many cities including abidjan
when i raise my hand i feel pain in my shoulder,when i raise my hand i feel pain in my shoulder.,/data4/data/appen-clinical-asr-phrases/1249120_22423108_39530740.wav,united states english,398257cd-1b35-4a8a-b852-db75333292d0,when i raise my hand i feel pain in my shoulder,when i raise my hand i feel pain in my shoulder.,0.09090909090909091,when i raise my hand i feel pain in my shoulder,when i raise my hand i feel pain in my shoulder
the family seate is willy hall in the village of willy shrupshire,"The family seat is Willey Hall, in the village of Willey, Shropshire.",/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_18713080.wav,irish english,60d33b38-8431-4d0c-9ca3-fec8f3c38c67,the family seate is willy hall in the village of willy shrupshire,"the family seat is willey hall, in the village of willey, shropshire.",0.4166666666666667,the family seate is willy hall in the village of willy shrupshire,the family seat is willey hall in the village of willey shropshire
we only have the hope left in order to obtain versey from the cads pray,We only have the hope left in order to obtain mercy from the gods praying.,/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_26253374.wav,united states english,820e557a-db94-43d6-b725-bac7adaa4974,we only have the hope left in order to obtain versey from the cads pray,we only have the hope left in order to obtain mercy from the gods praying.,0.2,we only have the hope left in order to obtain versey from the cads pray,we only have the hope left in order to obtain mercy from the gods praying
"microscopically, the tumour cells are plumped with abundant, finely gleanular, acidophylic cyoplasm and round noclea.","Microscopically, the tumour cells are plump withabundant, finely granular, acidophilic cytoplasm andround nuclei.",/data4/data/intron/c45a940f-1ccf-4fc3-a883-ce7fdbe51c14/c344762f3600b3930c6d4f2d77c05041.wav,shona,ba09b199-585c-45bf-8f39-a5b0f40dd52d,"microscopically, the tumour cells are plumped with abundant, finely gleanular, acidophylic cyoplasm and round noclea.","microscopically, the tumour cells are plump withabundant, finely granular, acidophilic cytoplasm andround nuclei.",0.6923076923076923,microscopically the tumor cells are plumped with abundant finely gleanular acidophylic cyoplasm and round noclea,microscopically the tumor cells are plump withabundant finely granular acidophilic cytoplasm andround nuclei
"his father, rick rasano also played inthernational football league","His father, Rick Razzano, also played in the National Football League.",/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_25262749.wav,united states english,ba820298-5485-41f5-9695-49cc479f2b6a,"his father, rick rasano also played inthernational football league","his father, rick razzano, also played in the national football league.",0.45454545454545453,his father rick rasano also played inthernational football league,his father rick razzano also played in the national football league
,The boy went to his room and packed his belongings.,/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_149873.wav,unknown,fdda49e3-04c2-439c-99c7-3e2d7a57351b,abcxyz,the boy went to his room and packed his belongings.,1.0,,the boy went to his room and packed his belongings
it was his first tes for four years,It was his first Test for four years.,/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_20207560.wav,unknown,5728b5f7-eb57-475e-9600-599282bd2f86,it was his first tes for four years,it was his first test for four years.,0.25,it was his 1st tes for 4 years,it was his 1st test for 4 years
"and in the presentation, mintact indicated that antibodies and intigens are currently important remember he said that last week they received e concignment and that they were going to receive","And in the presentation, Mintek indicated that antibodies and antigens are currently imported. Remember he said that last week they received a consignment and that they were going to receive",/data4/data/intron/2bfc9e3c38df11edb2d70603bdd00153/cef0db3a38df11edb2d70603bdd00153.wav,south african english,e4c66cfe-5baf-42f3-9c8a-d181cee240fa,"and in the presentation, mintact indicated that antibodies and intigens are currently important remember he said that last week they received e concignment and that they were going to receive","and in the presentation, mintek indicated that antibodies and antigens are currently imported. remember he said that last week they received a consignment and that they were going to receive",0.16666666666666666,and in the presentation mintact indicated that antibodies and intigens are currently important remember he said that last week they received e concignment and that they were going to receive,and in the presentation mintek indicated that antibodies and antigens are currently imported remember he said that last week they received a consignment and that they were going to receive
meswire keps ackson side,Mesh wire keeps chicks inside.,/data4/data/cv-corpus-10.0-2022-07-04/en/clips/common_voice_en_17764827.wav,"india and south asia (india, pakistan, sri lanka)",fa050678-1798-42ff-9260-24b4c74c6eea,meswire keps ackson side,mesh wire keeps chicks inside.,1.0,meswire keps ackson side,mesh wire keeps chicks inside
"291 billion. in just six months mr speaker, our debt as increased by 43 billion c6 in six months meanwhile your revenue was increased by only 24 billion","291 billion. In just six months, Mr Speaker, our debt has increased by 43 billion cedis- Wow- in six months. Is it true? Meanwhile, your revenue has only increased by 24 billion.",/data4/data/intron/ac71ac0a390d11ed8d4a0603bdd00153/266b7ee8391111ed8d4a0603bdd00153.wav,ghanian english,c559a20d-de3b-405b-89b7-5e9366031dd8,"291 billion. in just six months mr speaker, our debt as increased by 43 billion c6 in six months meanwhile your revenue was increased by only 24 billion","291 billion. in just six months, mr speaker, our debt has increased by 43 billion cedis- wow- in six months. is it true? meanwhile, your revenue has only increased by 24 billion.",0.40625,291000000000 in just 6 months mister speaker our debt as increased by 43000000000 c 6 in 6 months meanwhile your revenue was increased by only 24000000000,291000000000 in just 6 months mister speaker our debt has increased by 43000000000 cedis wow in 6 months is it true meanwhile your revenue has only increased by 24000000000
